,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,6,,,,,,7,,,,,,8,,,,,,9,,,,,,10,,,,,,11,,,,,,12,,,,,,13,,,,,,14,,,,,,15,,,,,,16,,,,,,17,,,,,,18,,,,,,19,,,,,,20,,,,,,21,,,,,,22,,,,,,23,,,,,,24,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.75839432,0.329598,0.325266,0.401206,0.37428,0.253375,0.231749,,,,,,-8.828919,0.157293,3.459964,0.143249,0.200085,0.14722,0.275253,0.180457,0.214182,0.30966,0.727817,0.862567,0.913144,0.934975,1.069907,1.098852,1.126529,1.160057,1.164557,,,,,,,,,,,,,,,,-8.696057,0.0764,0.0851,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,1.35,1.35,1.35,1.35,1.35,1.35,2.15,2.15,2.15,2.15,2.15,2.15,3.35,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0609,0.048866,-0.109754,1.753852,1.71949,1.680251,1.514066,4.737499,1.361468,-0.62089,-0.833195,-0.79569,-0.894801,-0.89284,-1.011311,-1.093167,-1.256651,-1.191391,-1.225446,-1.319758,-1.390942,-1.495323,-1.4831,-1.481167,0.329598,0.325266,0.401206,0.37428,0.253375,0.231749,-1.7861,-1.837132,-1.841781,-1.818543,-1.717575,-1.898769,0.157293,3.459964,0.143249,0.200085,0.14722,0.275253,0.180457,0.214182,0.30966,0.727817,0.862567,0.913144,0.934975,1.069907,1.098852,1.126529,1.160057,1.164557,-1.270941,-1.159798,-1.020375,-0.968817,-0.90702,-0.848047,-0.848173,-0.728905,-0.684966,-0.6028,-0.475935,-0.400579,-0.309759,-0.322397,-0.127957,-0.059404,0.0764,0.0851,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,1.35,1.35,1.35,1.35,1.35,1.35,2.15,2.15,2.15,2.15,2.15,2.15,3.35,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
自发自用,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0609,0.048866,0,1.644098,1.71949,1.680251,1.514066,4.737499,1.361468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,2.15,2.15,2.15,2.15,1.35,1.35,1.35,1.35,1.35,1.35,2.15,2.15,2.15,2.15,2.15,2.15,3.35,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
电费,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.0055825,0.004479383,0,0.150708983,0.157619917,0.154023008,0.138789383,0.434270742,0.124801233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.19125,0.19125,0.19125,0.19125,0.19125,0.19125,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.195416667,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875
,6.274858483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分时电价,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
碳排放因子,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电费,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.01375,0.01375,0.01375,0.197083333,0.197083333,0.197083333,0.197083333,0.490416667,0.197083333,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.02125,0.02125,0.02125,0.02125,0.02125,0.02125,0.304583333,0.772083333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.375416667,0.375416667,0.375416667,0.242916667,0.242916667,0.242916667,0.242916667,0.242916667,0.242916667,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.01375,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.19125,0.19125,0.19125,0.19125,0.19125,0.19125,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.304583333,0.195416667,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875,0.00875
总电费,16.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
碳排放,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01875,0.01625,0.01625,0.01625,0.232916667,0.232916667,0.232916667,0.232916667,0.579583333,0.232916667,0.01625,0.01625,0.01625,0.01625,0.01625,0.01625,0.01625,0.01625,0.01625,0.01625,0.01625,0.01625,0.01625,0.01625,0.01625,0.143333333,0.143333333,0.143333333,0.143333333,0.143333333,0.143333333,0.01,0.01,0.01,0.01,0.01,0.01,0.143333333,0.363333333,0.143333333,0.143333333,0.143333333,0.143333333,0.143333333,0.143333333,0.143333333,0.176666667,0.176666667,0.176666667,0.220833333,0.220833333,0.220833333,0.220833333,0.220833333,0.220833333,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.286666667,0.286666667,0.286666667,0.286666667,0.286666667,0.286666667,0.286666667,0.286666667,0.286666667,0.286666667,0.286666667,0.286666667,0.18,0.18,0.18,0.18,0.18,0.18,0.286666667,0.286666667,0.286666667,0.286666667,0.286666667,0.286666667,0.390833333,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175
总排放,14.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
光伏发电售电,2.285801625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
