,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144
电网充电,2.000,0.847,0.000,2.000,0.000,0.000,1.922,1.037,2.000,0.000,0.000,0.000,0.233,2.000,0.000,0.001,0.392,0.000,0.000,0.000,1.900,0.000,0.000,0.000,0.173,1.951,0.000,0.000,1.997,2.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.718,0.000,1.870,0.000,0.000,0.000,0.000,0.000,1.900,0.960,0.000,2.000,0.829,1.854,0.000,1.974,0.000,0.000,0.000,1.135,1.093,0.000,2.000,0.000,0.000,0.000,0.000,1.759,0.000,0.000,0.455,0.000,0.000,0.000,0.000,0.000,0.737,0.000,0.000,0.000,0.000,1.458,0.000,0.000,0.000,1.337,0.000,0.000,2.000,0.880,2.000,0.000,2.000,0.000,0.000,0.000,2.000,1.478,0.000,0.000,2.000,0.000,0.000,1.341,0.000,1.371,0.000,1.282,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.412,0.049,0.000,0.000,0.459,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000
光伏充电,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.774,1.392,0.000,0.000,2.000,0.688,0.000,0.713,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.249,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
自用放电,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.050,0.000,0.000,0.000,1.211,0.000,0.000,0.000,0.000,0.055,0.000,0.000,0.000,0.000,0.089,2.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000,0.000,1.754,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,1.818,0.000,2.000,0.000,1.333,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,1.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.128,0.000,0.000,0.000,0.000,0.000,1.313,0.000,0.000,1.905,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.790,0.000,0.000,0.000,0.706,2.000,0.000,0.924,1.965,0.000,1.406,0.000,1.378,0.000,1.076,0.000,1.409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.172,0.000,0.000,0.000,0.915,0.000,0.000,0.000,0.113,2.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.855,0.000,0.000,0.000,1.854,0.000
售电,0.000,0.000,0.000,0.000,0.544,0.000,0.000,0.000,0.000,2.000,0.726,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,1.597,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000,1.418,0.000,0.982,2.000,0.000,0.000,0.000,0.000,1.042,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,1.736,0.000,0.974,2.000,2.000,0.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.444,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.681,0.000,0.000,0.000,0.000,1.008,2.000,0.000,0.000,1.300,0.000,0.000,0.000,0.000,0.464,0.000,0.327,2.000,0.000,0.000,0.000,0.416,0.000,0.000,2.000,2.000,0.000,1.017,0.000,0.535,0.000,0.560,0.000,0.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.219,0.000,0.000,0.000,1.605,0.000,0.000,0.000,0.783,2.000,0.000,0.000,0.000,0.000,0.000,0.000,1.957,0.000,0.000,0.000,0.000,0.604,0.000,0.000,0.000,0.985,0.000
总电量,2.400,2.421,2.421,2.471,2.400,2.400,2.448,2.474,2.524,2.462,2.400,2.400,2.406,2.456,2.400,2.400,2.410,2.400,2.400,2.400,2.447,2.400,2.400,2.400,2.404,2.453,2.400,2.400,2.450,2.500,2.550,2.485,2.400,2.450,2.420,2.400,2.400,2.400,2.400,2.418,2.400,2.447,2.400,2.400,2.400,2.400,2.400,2.492,2.551,2.477,2.527,2.597,2.661,2.551,2.618,2.527,2.465,2.400,2.478,2.506,2.400,2.450,2.400,2.400,2.400,2.400,2.444,2.400,2.400,2.411,2.400,2.400,2.400,2.400,2.400,2.418,2.400,2.400,2.400,2.400,2.436,2.405,2.400,2.400,2.433,2.400,2.400,2.450,2.472,2.522,2.446,2.496,2.486,2.400,2.400,2.450,2.518,2.484,2.422,2.522,2.432,2.400,2.434,2.400,2.434,2.400,2.432,2.400,2.450,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.450,2.400,2.400,2.435,2.437,2.400,2.400,2.411,2.461,2.434,2.400,2.400,2.400,2.400,2.400,2.400,2.450,2.400,2.400,2.400,2.400,2.450,2.400,2.400,2.400,2.450,2.400,2.400
