,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144
电网充电,0.408,0.738,1.858,0.699,1.452,0.000,1.442,0.000,0.000,0.000,1.246,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.861,0.000,0.000,0.000,0.000,2.000,1.018,2.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,1.852,0.840,1.061,2.000,2.000,0.013,1.906,0.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.401,0.000,0.001,2.000,0.000,0.000,1.191,2.000,1.448,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.768,0.000,2.000,2.000,0.000,0.000,0.118,1.548,0.000,0.000,0.000,0.929,0.000,0.000,0.000,0.549,0.000,0.000,0.740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.262,0.000,1.858,0.895,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.739,2.000,0.000,2.000,0.000,1.554,0.000,0.000
光伏充电,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.113,1.774,0.000,1.473,0.521,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.223,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.284,0.000,0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.526,0.000,0.000,0.000,0.768,0.356,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
自用放电,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.207,2.000,0.000,0.000,0.000,0.000,0.000,0.816,0.112,0.000,0.000,0.000,0.000,0.930,0.000,0.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.472,1.145,2.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.980,0.000,0.000,0.000,0.000,0.861,0.000,0.000,0.000,0.000,0.000,0.000,1.912,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.752,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.639,2.000,0.000,0.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,1.494,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.885,0.000,0.000,0.000,0.564,0.000
售电,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.832,0.000,0.000,1.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.190,0.000,0.000,0.000,0.000,0.000,1.343,2.000,0.000,0.000,0.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.263,0.000,2.000,2.000,0.044,0.000,0.006,1.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.774,0.000,2.000,0.000,0.000,1.292,0.000,0.000,0.000,0.000,0.000,2.000,1.896,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.947,0.000,0.000,0.000,2.000,0.042,0.000,0.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.913,0.000,0.000,0.000,2.000,0.000,0.000,0.000,1.412,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,2.000,0.000,2.000,0.000
总电量,2.400,2.418,2.465,2.482,2.519,2.519,2.555,2.493,2.400,2.400,2.431,2.400,2.400,2.400,2.400,2.400,2.450,2.500,2.522,2.423,2.400,2.400,2.400,2.450,2.475,2.525,2.459,2.400,2.400,2.400,2.450,2.500,2.410,2.460,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.450,2.400,2.400,2.400,2.449,2.514,2.541,2.628,2.691,2.691,2.739,2.638,2.688,2.581,2.484,2.421,2.471,2.409,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.406,2.400,2.410,2.400,2.400,2.450,2.400,2.400,2.430,2.487,2.523,2.525,2.463,2.400,2.400,2.400,2.450,2.400,2.400,2.400,2.400,2.400,2.419,2.400,2.450,2.500,2.400,2.400,2.403,2.442,2.400,2.400,2.450,2.511,2.430,2.400,2.400,2.433,2.442,2.400,2.419,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.432,2.400,2.446,2.469,2.469,2.400,2.400,2.400,2.450,2.400,2.400,2.400,2.400,2.400,2.400,2.418,2.468,2.400,2.450,2.400,2.439,2.400,2.400
