,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144
电网充电,1.184,0.000,1.702,0.000,0.000,0.000,1.714,1.080,1.993,0.000,1.210,0.988,0.000,2.000,2.000,0.000,2.000,0.199,2.000,0.000,0.000,0.000,0.688,0.000,0.000,0.000,0.000,0.000,1.676,0.622,0.000,0.000,1.417,2.000,0.000,2.000,0.443,0.000,0.000,1.556,0.000,1.357,0.000,2.000,0.000,1.242,0.000,0.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.219,0.000,1.868,0.000,1.308,0.157,0.752,0.000,0.000,1.456,0.000,0.000,0.000,0.000,0.000,0.000,0.940,0.000,2.000,0.000,0.326,0.000,2.000,0.000,0.000,1.369,0.000,0.000,0.000,0.000,0.503,1.701,2.000,0.000,2.000,1.763,0.000,0.000,1.033,0.000,0.950,1.364,1.993,1.679,0.000,1.105,0.438,1.024,1.937,0.000,0.716,1.695,0.000,0.000,0.000,1.546,0.499,0.000,1.264,0.000,0.000,0.000,1.080,0.000,0.000,0.000,1.716,0.000,0.000,0.000,0.000,0.000,0.939,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.146,0.928,0.000,0.000,1.859
光伏充电,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.307,0.000,1.918,0.000,0.000,0.000,0.725,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.395,2.000,1.265,0.000,0.000,2.000,0.000,0.000,1.677,0.000,0.000,0.000,0.763,0.000,0.442,0.000,1.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.921,0.000,0.000,1.324,0.000,0.440,0.000,1.830,1.879,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
自用放电,0.000,0.000,0.000,1.289,2.000,0.000,0.000,0.000,0.000,1.774,0.000,0.000,0.000,0.000,0.000,1.643,0.000,0.000,0.000,1.389,0.473,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,1.909,0.000,0.000,0.000,1.481,0.000,0.000,2.000,2.000,0.000,2.000,0.000,1.754,0.000,0.913,0.000,2.000,0.000,0.000,0.000,1.777,0.000,1.892,0.000,0.000,0.000,0.000,0.000,1.377,0.000,1.759,0.000,0.000,0.000,1.498,0.676,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.612,0.000,0.000,0.000,0.000,0.000,1.514,1.786,0.000,0.267,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.700,1.860,0.000,0.841,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.498,0.000,0.000,0.955,1.755,1.110,0.000,0.000,1.758,0.000,0.601,0.000,0.000,0.000,0.672,1.895,0.000,0.000,1.495,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.537,0.000,0.000,0.671,0.000,0.000
售电,0.000,0.000,0.000,0.000,0.253,0.000,0.000,0.000,0.000,1.776,0.000,0.000,0.000,0.000,0.000,0.784,0.000,0.000,0.000,1.758,0.846,0.852,0.000,1.841,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,1.189,0.000,0.000,0.000,1.389,0.000,1.718,0.000,1.885,0.000,0.904,0.000,0.341,0.000,0.000,0.000,0.000,0.000,1.727,0.000,0.000,0.000,0.000,0.000,1.532,0.000,2.000,0.000,0.000,0.000,1.313,1.617,0.000,1.337,0.000,0.000,2.000,0.000,0.000,0.000,0.798,0.000,1.909,0.000,0.000,0.000,0.914,2.000,0.000,1.551,0.000,0.000,0.000,0.000,0.000,0.000,0.740,0.000,0.000,1.963,1.812,0.000,1.645,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.506,0.000,0.000,0.672,2.000,0.823,0.000,0.000,1.344,0.000,2.000,0.000,0.000,0.000,0.113,1.728,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.155,0.000,0.000
总电量,2.400,2.400,2.443,2.403,2.400,2.400,2.443,2.470,2.520,2.410,2.440,2.465,2.465,2.515,2.565,2.490,2.540,2.545,2.595,2.498,2.457,2.400,2.417,2.400,2.400,2.400,2.400,2.400,2.442,2.457,2.400,2.400,2.435,2.485,2.403,2.453,2.464,2.402,2.400,2.447,2.400,2.482,2.400,2.450,2.400,2.449,2.400,2.400,2.400,2.450,2.400,2.450,2.400,2.400,2.400,2.400,2.400,2.430,2.400,2.447,2.400,2.468,2.521,2.572,2.485,2.414,2.501,2.400,2.400,2.442,2.400,2.400,2.400,2.443,2.400,2.461,2.402,2.437,2.437,2.487,2.412,2.400,2.434,2.400,2.400,2.400,2.400,2.413,2.455,2.505,2.421,2.471,2.563,2.450,2.400,2.459,2.400,2.435,2.469,2.564,2.653,2.530,2.558,2.568,2.594,2.643,2.581,2.599,2.641,2.591,2.475,2.415,2.454,2.466,2.400,2.432,2.400,2.400,2.400,2.427,2.403,2.400,2.400,2.443,2.400,2.400,2.400,2.400,2.400,2.423,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.450,2.400,2.429,2.452,2.400,2.400,2.446
