,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144
电网充电,0.754,2.000,0.000,0.000,2.000,0.000,1.141,0.000,0.000,0.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.359,0.000,0.000,2.000,2.000,2.000,0.000,2.000,2.000,0.000,1.527,0.000,0.000,0.000,0.000,1.508,0.740,2.000,0.000,1.794,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,1.864,0.000,2.000,0.000,0.000,1.398,0.000,1.695,0.000,2.000,0.000,0.000,0.000,0.000,0.093,0.000,0.000,0.000,0.000,0.000,1.556,0.000,0.000,2.000,0.000,2.000,0.000,2.000,1.604,0.000,0.000,2.000,0.000,0.000,0.000,0.221,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.967,2.000,0.000,0.000,0.000,1.382,1.149,0.000,0.000,1.151,0.000,0.088,2.000,0.000,0.000,0.000,1.761,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.674,0.000,0.000,1.531,0.000,0.000,0.000,0.000,1.142,0.000,0.000,0.000,0.829,0.000,0.127,1.769,1.140,2.000,0.000,0.000,2.000,0.000,2.000
光伏充电,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.659,0.000,0.125,0.000,0.000,0.000,0.000,0.725,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.728,1.859,0.000,0.000,0.356,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
自用放电,0.000,0.000,2.000,0.000,0.000,0.168,0.000,0.276,0.000,0.000,0.000,0.000,0.000,0.000,1.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.697,0.000,2.000,0.000,0.000,0.779,0.000,0.000,0.000,0.000,0.000,0.000,1.855,0.000,1.397,0.000,0.000,1.054,0.000,2.000,0.000,1.362,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.366,0.000,0.000,0.424,1.700,0.000,1.910,0.000,0.000,0.000,0.000,1.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.852,0.038,0.000,0.000,0.000,2.000,2.000,0.000,2.000,0.000,0.000,0.715,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.845,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.481,0.000
售电,0.000,0.000,0.008,0.000,0.000,1.615,0.000,2.000,0.000,0.000,0.000,0.000,2.000,0.000,1.953,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.471,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.689,0.000,1.973,1.274,0.000,0.000,0.000,0.000,0.000,0.196,0.000,2.000,0.000,2.000,0.000,0.000,1.845,0.000,0.000,0.000,0.000,0.000,0.000,1.938,0.000,1.865,0.000,0.000,2.000,0.000,0.772,0.000,0.412,0.000,0.000,0.000,0.000,1.096,0.000,0.000,1.725,0.000,0.000,0.295,0.000,0.000,1.396,0.000,1.243,0.000,0.000,2.000,1.322,0.000,0.000,0.000,0.000,0.000,0.000,1.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,2.000,0.208,0.000,0.000,0.000,0.000,1.693,0.000,0.000,0.000,1.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.726,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.849,0.000
总电量,2.400,2.450,2.400,2.400,2.450,2.400,2.429,2.400,2.400,2.400,2.400,2.450,2.400,2.450,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.434,2.400,2.400,2.450,2.500,2.550,2.488,2.538,2.588,2.536,2.574,2.452,2.400,2.400,2.400,2.438,2.456,2.523,2.455,2.503,2.400,2.450,2.400,2.400,2.468,2.400,2.400,2.400,2.400,2.400,2.450,2.547,2.430,2.480,2.400,2.400,2.435,2.400,2.442,2.400,2.450,2.400,2.400,2.400,2.400,2.402,2.400,2.400,2.403,2.400,2.400,2.439,2.400,2.400,2.450,2.407,2.457,2.400,2.450,2.490,2.415,2.400,2.450,2.400,2.400,2.400,2.406,2.456,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.449,2.499,2.442,2.400,2.400,2.453,2.528,2.404,2.400,2.438,2.400,2.402,2.452,2.400,2.400,2.400,2.444,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.400,2.442,2.400,2.400,2.438,2.400,2.400,2.400,2.400,2.429,2.400,2.400,2.400,2.421,2.400,2.403,2.447,2.476,2.526,2.402,2.402,2.452,2.400,2.450
